Task,Name,Owner,Cost (k$),Description
1.,Discovery & Alignment,,$47,Shape the delivery scope while downstream planning starts in parallel.
1.1,Stakeholder interviews,Morgan,$18,"Confirm operational constraints, target users, and decision owners."
1.2,Business case,Riley,$24,"Model expected value, success criteria, and release economics."
1.3,Scope sign-off,Avery,$5,Decision point that authorizes build and launch preparation.
2.,Platform Build,,$247,Backend and data work begin before discovery is fully closed.
2.1,Integration design,Casey,$42,"Define service boundaries, integration contracts, and rollout sequencing."
2.2,Core services,Jordan,$138,"Build APIs, orchestration, and persistence for the initial release."
2.3,Reporting pipeline,Sam,$67,Stand up downstream reporting and quality controls while core services continue.
3.,Experience & Readiness,,$173,"Frontend, training, and go-live tasks intentionally overlap the final build window."
3.1,Operator workflows,Taylor,$121,Deliver the primary operator journeys and role-based UX refinements.
3.2,Training content,Jamie,$31,"Prepare facilitator guides, demos, and adoption material before launch."
3.3,Release rehearsal,Avery,$9,"Full rehearsal of support handoffs, runbooks, and go-live criteria."
3.4,Launch window,Avery,$12,Production deployment and early-hypercare command window.
,Total,,$467,
